Gene name,Kinase,Direct binder,Abemaciclib,AC-480,ACTB-1003,AEE-788,AEW-541,Afatinib,Alectinib,Alisertib,Alvocidib,AMG-208,AMG-900,Amuvatinib,Apatinib,Apitolisib,ARRY-380,ASP-3026,AT-13148,AT-7519,AT-9283,AV-412,Axitinib,AXL-1717,AZD-1208,AZD-1480,AZD-2014,AZD-4547,AZD-5363,AZD-5438,AZD-6482,AZD-7762,AZD-8055,AZD-8186,AZD-8330,Bafetinib,Barasertib,Barasertib_HQPA,Baricitinib,BGT-226,BI-2536,BI-847325,Binimetinib,BMS-387032,BMS-690514,BMS-754807,BMS-777607,BMS-911543,Bosutinib,Brivanib_alaninate,Brivanib,Buparlisib,BYL-719,Cabozantinib,Canertinib,Capmatinib,CC-401,Cediranib,CEP-32496,Cerdulatinib,Ceritinib,Certican,CH-5183284,Cobimetinib,Copanlisib,CP-547632,CP-724714,Crenolanib,Crizotinib,CUDC-101,Cyc-116,Dabrafenib,Dacomitinib,Dactolisib,Danusertib,Dasatinib,Decernotinib,Defactinib,Deforolimus,Dinaciclib,Dovitinib,Encorafenib,ENMD-2076,Entrectinib,Enzastaurin,Erlotinib,Fasudil,Fedratinib,Filgotinib,Foretinib,Fostamatinib,Galunisertib,GDC-0994,Gedatolisib,Gefitinib,Gilteritinib,Golvatinib,GSK-1059615,GSK-1070916,GSK-2110183,GSK-2636771,GSK-461364,GSK-690693,HMN-214,Hydroxyfasudil,Ibrutinib,Icotinib,Idelalisib,Imatinib,IMD-0354,JANEX-1,JNJ-26483327,JNJ-38877605,K-252a,KW-2449,KX2-391,Lapatinib,Lenvatinib,Lestaurtinib,Linifanib,Linsitinib,Losmapimod,Lucitanib,LY-2584702,LY-2801653,Masitinib,MGCD-265,Midostaurin,Milciclib,MK-1775,MK-2206,MK-2461,MK-5108,MK-8033,MLN-2480,MLN-8054,Momelotinib,Motesanib,Mubritinib,Neratinib,Nilotinib,Nintedanib,NMS-1286937,Omipalisib,ONO-4059 analogue,Orantinib,OSI-027,OSI-930,Osimertinib,OTS-167,P-276-00,Pacritinib,Palbociclib,Pazopanib,PD-325901,Pelitinib,Perifosine,Pexidartinib,Pexmetinib,PF-03814735,PF-04217903,PF-04691502,PF-3758309,PF-477736,PF-562271,PH-797804,PHA-793887,Pictilisib,Pilaralisib analogue,Pimasertib,Ponatinib,Poziotinib,Quizartinib,R-406,R-547,Rabusertib,RAF-265,Rapamycin,RDEA-436,Rebastinib,Refametinib,Regorafenib,RGB-286638,Ribociclib,Rigosertib,Ripasudil,Ro-4987655,Ro-5126766,Rociletinib,Ruboxistaurin,Ruxolitinib,Sapanisertib,Sapitinib,SAR-407899,Saracatinib,SB-1317,SCH-900776,Seliciclib,Selumetinib,SGI-1776,SGX-523,Silmitasertib,SNS-314,Sonolisib,Sorafenib,Sotrastaurin,SU-14813,Sunitinib,TAK-285,TAK-593,TAK-733,TAK-901,Talmapimod,Tandutinib,Tanzisertib,Telatinib,Tepotinib,Tesevatinib,TG-100115,TG-100572,TG-100801,Tideglusib,Tivantinib,Tivozanib,Tofacitinib,Torisel,Tozasertib,Trametinib,Triciribine,UCN-01,Ulixertinib,Uprosertib,Vandetanib,Varlitinib,Vatalanib,Vemurafenib,Volasertib,Volitinib,VX-702,X-396,XL-019,XL-228,XL-413,XL-765,Y-39983
AAK1,yes,yes,102,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,1325,100000,100000,17,100000,2159,100000,100000,100000,100000,100000,100000,228,100000,73,100000,100000,100000,100000,100000,100000,46,100000,100000,100000,100000,100000,1414,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,2608,100000,100000,1,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,6,100000,100000,100000,100000,100000,4253,100000,100000,100000,209,100000,100000,100000,100000,100000,100000,359,4990,100000,100000,100000,401,100000,100000,25,100000,35,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,1069,100000,100000,5,318,100000,100000,100000,66,100000,100000,100000,100000,100000,100000,100000,100000,413,7413,100000,100000,3647,100000,100000,100000,100000,4,100000,100000,100000,100000,100000,100000,100000,100000,1174,100000,100000,100000,172,100000,42,100000,100000,100000,100000,100000,13711,100000,9,100000,100000,3041,2,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,22,100000,100000,100000,100000,100000,100000,1476,1351,100000,100000,12,100000,100000,100000,100000,1279,100000,100000,100000,100000,100000,100000,100000,253,363,100000,2441,100000,100000,100000,100000,100000,100000,100000,100000,3345,100000,100000,100000,100000,100000,100000,100000,353,100000,100000,623,100000,100000,100000,100000,100000,100000,100000,100000,100000,22238,6,138,100000,100000,122
ABL1,yes,yes,100000,100000,100000,1091,100000,100000,100000,100000,100000,100000,1899,100000,100000,814,100000,5258,100000,100000,315,100000,906,100000,100000,100000,100000,100000,100000,100000,100000,610,100000,100000,100000,26,100000,100000,100000,100000,100000,1592,100000,100000,128,100000,523,100000,19,100000,100000,100000,100000,1098,100000,100000,100000,13453,50,100000,100000,100000,100000,100000,100000,2164,100000,100000,803,100000,5057,1545,100000,100000,24,5,100000,100000,100000,100000,2560,100000,100000,100000,100000,4327,100000,100000,100000,104,100000,100000,100000,100000,100000,100000,631,100000,100000,100000,100000,100000,100000,100000,100000,1694,100000,100000,106,100000,100000,100000,100000,100000,2059,100000,100000,3771,100000,100000,100000,100000,100000,100000,100000,593,241,100000,1167,3474,100000,100000,62,100000,498,1485,100000,100000,100000,100000,301,591,100000,100000,100000,100000,100000,100000,100000,280,100000,100000,100000,100000,100000,100000,100000,100000,211,2532,100000,100000,100000,584,100000,100000,100000,100000,100000,100000,36,100000,100000,100000,100000,100000,100000,100000,100000,317,100000,753,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,53,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,918,100000,310,100000,100000,100000,100000,100000,921,100000,2,10707,100000,100000,195,100000,100000,479,100000,100000,100000,100000,100000,1183,100000,100000,100000,100000,100000,100000,100000,100000,75,100000,100000,100000
ABL2,yes,yes,100000,100000,100000,14924,100000,100000,100000,1009,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,1082,100000,1039,100000,100000,100000,100000,100000,100000,100000,100000,899,100000,100000,100000,10,100000,100000,100000,100000,100000,1480,100000,100000,40,100000,1508,100000,20,100000,100000,100000,100000,918,100000,100000,100000,100000,30,100000,100000,100000,100000,100000,100000,100000,100000,100000,427,100000,100000,305,100000,100000,10,4,7071,100000,100000,100000,1042,100000,100000,100000,100000,100000,100000,100000,100000,54,100000,100000,100000,100000,100000,100000,722,100000,100000,100000,100000,100000,100000,100000,100000,919,100000,100000,64,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,354,315,100000,100000,100000,100000,100000,77,100000,99,1293,100000,100000,100000,100000,291,100000,100000,100000,100000,100000,100000,100000,100000,187,100000,100000,100000,100000,100000,100000,100000,100000,351,100000,100000,100000,939,1372,100000,100000,100000,100000,100000,100000,20,100000,100000,100000,100000,100000,100000,100000,100000,135,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,91,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,4058,100000,422,100000,100000,100000,100000,100000,628,100000,1,1034,100000,100000,302,100000,100000,347,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,8,100000,100000,100000
ACAD10,no,yes,100000,100000,100000,100000,100000,100000,100000,78,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,1111,100000,100000,100000,100000,100000,3957,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,2472,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
ACAD11,no,yes,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,1916,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,4147,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,3156,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
ACOX3,no,yes,100000,100000,100000,100000,100000,100000,2602,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,26,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
ACTR3,no,yes,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,5511,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
ACVR1,yes,yes,100000,100000,100000,16121,1202,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,78,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,396,100000,100000,100000,527,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,1310,100000,100000,100000,100000,5859,100000,100000,39,100000,100000,3726,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,1949,100000,100000,100000,100000,100000,100000,100000,100000,100000,477,100000,100000,100000,121,100000,100000,100000,100000,100000,100000,100000,100000,1415,100000,100000,100000,100000,100000,100000,100000,222,100000,22,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,1264,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,40,100000,100000,4,100000,100000,100000,100000,458,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,249,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,5,100000,100000,100000
ACVR1B,yes,yes,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,811,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,4,100000,100000,100000,100000,1269,601,100000,100000,524,1159,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,16,100000,100000,100000,100000,100000,100000,1207,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,15258,100000,100000,100000,100000,660,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,425,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,549,100000,100000,195,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,767,100000,100000,142,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,1,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
ACVR2B,yes,yes,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,253,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,2485,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,9900,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,1300,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,901,100000,100000,3878,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
